"ano","mes","cidade","quantidade.assistente"
"2009","10","Alhandra",1
"2009","10","Brejo dos Santos",1
"2009","10","Catingueira",1
"2009","10","Logradouro",1
"2009","10","Mãe d'Água",1
"2009","10","Manaíra",1
"2009","10","Uiraúna",1
"2009","11","Alhandra",1
"2009","11","Brejo dos Santos",1
"2009","11","Catingueira",1
"2009","11","Logradouro",1
"2009","11","Mãe d'Água",1
"2009","11","Manaíra",1
"2009","11","Uiraúna",1
"2009","12","Alhandra",1
"2009","12","Brejo dos Santos",1
"2009","12","Catingueira",1
"2009","12","Logradouro",1
"2009","12","Mãe d'Água",1
"2009","12","Manaíra",1
"2009","12","Uiraúna",1
"2010","12","Campina Grande",138
"2010","04","Campina Grande",122
"2010","05","Campina Grande",122
"2010","03","Campina Grande",121
"2010","06","Campina Grande",121
"2010","02","Campina Grande",120
"2010","07","Campina Grande",120
"2010","08","Campina Grande",120
"2010","09","Campina Grande",120
"2010","10","Campina Grande",120
"2010","11","Campina Grande",120
"2010","01","Campina Grande",114
"2010","05","João Pessoa",94
"2010","06","João Pessoa",94
"2010","07","João Pessoa",94
"2010","08","João Pessoa",94
"2010","09","João Pessoa",94
"2010","10","João Pessoa",89
"2010","11","João Pessoa",89
"2010","12","João Pessoa",89
"2010","01","Sousa",41
"2010","02","Sousa",41
"2010","03","Sousa",41
"2010","04","Sousa",41
"2010","05","Sousa",41
"2010","06","Sousa",41
"2010","07","Sousa",41
"2010","08","Sousa",41
"2010","09","Sousa",41
"2010","10","Sousa",41
"2010","11","Sousa",41
"2010","05","Santa Rita",18
"2010","04","Santa Rita",17
"2010","01","Santa Rita",14
"2010","02","Santa Rita",14
"2010","06","Santa Rita",14
"2010","11","Santa Rita",14
"2010","03","Santa Rita",13
"2010","07","Santa Rita",13
"2010","08","Santa Rita",13
"2010","09","Santa Rita",13
"2010","10","Santa Rita",13
"2010","12","Santa Rita",13
"2010","02","Bayeux",10
"2010","01","Bayeux",9
"2010","05","Bayeux",8
"2010","06","Bayeux",8
"2010","07","Bayeux",8
"2010","08","Bayeux",8
"2010","04","Bayeux",7
"2010","03","Bayeux",6
"2010","03","Patos",6
"2010","04","Bananeiras",6
"2010","04","Patos",6
"2010","05","Patos",6
"2010","06","Patos",6
"2010","07","Patos",6
"2010","08","Patos",6
"2010","09","Bayeux",6
"2010","09","Patos",6
"2010","10","Bayeux",6
"2010","10","Patos",6
"2010","11","Bayeux",6
"2010","11","Patos",6
"2010","12","Bayeux",6
"2010","12","Patos",6
"2010","01","Bananeiras",5
"2010","01","Cabedelo",5
"2010","01","Patos",5
"2010","02","Bananeiras",5
"2010","02","Cabedelo",5
"2010","02","Patos",5
"2010","03","Bananeiras",5
"2010","03","Cabedelo",5
"2010","04","Cabedelo",5
"2010","05","Bananeiras",5
"2010","05","Cabedelo",5
"2010","06","Bananeiras",5
"2010","06","Cabedelo",5
"2010","07","Bananeiras",5
"2010","07","Cabedelo",5
"2010","08","Bananeiras",5
"2010","08","Cabedelo",5
"2010","09","Bananeiras",5
"2010","09","Cabedelo",5
"2010","10","Bananeiras",5
"2010","10","Cabedelo",5
"2010","11","Bananeiras",5
"2010","11","Cabedelo",5
"2010","12","Bananeiras",5
"2010","12","Cabedelo",5
"2010","01","Caaporã",4
"2010","01","Cuité",4
"2010","01","Soledade",4
"2010","02","Caaporã",4
"2010","02","Cuité",4
"2010","02","Soledade",4
"2010","03","Caaporã",4
"2010","03","Cuité",4
"2010","03","Soledade",4
"2010","04","Caaporã",4
"2010","04","Cuité",4
"2010","04","Soledade",4
"2010","05","Caaporã",4
"2010","05","Cuité",4
"2010","05","Soledade",4
"2010","06","Caaporã",4
"2010","06","Cuité",4
"2010","06","Soledade",4
"2010","07","Caaporã",4
"2010","07","Cuité",4
"2010","07","Soledade",4
"2010","08","Caaporã",4
"2010","08","Cuité",4
"2010","08","Soledade",4
"2010","09","Caaporã",4
"2010","09","Cuité",4
"2010","09","Soledade",4
"2010","10","Caaporã",4
"2010","10","Cuité",4
"2010","10","Soledade",4
"2010","11","Caaporã",4
"2010","11","Cuité",4
"2010","11","Sapé",4
"2010","11","Soledade",4
"2010","12","Caaporã",4
"2010","12","Cuité",4
"2010","12","Soledade",4
"2010","01","Sapé",3
"2010","02","Sapé",3
"2010","03","Sapé",3
"2010","04","Sapé",3
"2010","05","Sapé",3
"2010","06","Sapé",3
"2010","07","Sapé",3
"2010","08","Sapé",3
"2010","09","Sapé",3
"2010","10","Sapé",3
"2010","12","Sapé",3
"2010","01","Aroeiras",2
"2010","01","Camalaú",2
"2010","01","Guarabira",2
"2010","01","Solânea",2
"2010","02","Aroeiras",2
"2010","02","Camalaú",2
"2010","02","Guarabira",2
"2010","02","Solânea",2
"2010","03","Aroeiras",2
"2010","03","Camalaú",2
"2010","03","Guarabira",2
"2010","03","Solânea",2
"2010","04","Aroeiras",2
"2010","04","Camalaú",2
"2010","04","Guarabira",2
"2010","04","Solânea",2
"2010","05","Aroeiras",2
"2010","05","Camalaú",2
"2010","05","Guarabira",2
"2010","05","Solânea",2
"2010","06","Aroeiras",2
"2010","06","Camalaú",2
"2010","06","Guarabira",2
"2010","06","Solânea",2
"2010","07","Camalaú",2
"2010","07","Guarabira",2
"2010","07","Solânea",2
"2010","08","Camalaú",2
"2010","08","Guarabira",2
"2010","08","Solânea",2
"2010","09","Camalaú",2
"2010","09","Guarabira",2
"2010","09","Solânea",2
"2010","10","Camalaú",2
"2010","10","Guarabira",2
"2010","10","Solânea",2
"2010","11","Camalaú",2
"2010","11","Guarabira",2
"2010","11","Solânea",2
"2010","12","Camalaú",2
"2010","12","Guarabira",2
"2010","12","Solânea",2
"2010","01","Alhandra",1
"2010","01","Brejo dos Santos",1
"2010","01","Catingueira",1
"2010","01","Logradouro",1
"2010","01","Mãe d'Água",1
"2010","01","Manaíra",1
"2010","01","Uiraúna",1
"2010","02","Alhandra",1
"2010","02","Brejo dos Santos",1
"2010","02","Catingueira",1
"2010","02","Curral de Cima",1
"2010","02","Logradouro",1
"2010","02","Mãe d'Água",1
"2010","02","Manaíra",1
"2010","02","Uiraúna",1
"2010","03","Alhandra",1
"2010","03","Brejo dos Santos",1
"2010","03","Catingueira",1
"2010","03","Curral de Cima",1
"2010","03","Logradouro",1
"2010","03","Mãe d'Água",1
"2010","03","Manaíra",1
"2010","03","Uiraúna",1
"2010","04","Alhandra",1
"2010","04","Brejo dos Santos",1
"2010","04","Catingueira",1
"2010","04","Curral de Cima",1
"2010","04","Logradouro",1
"2010","04","Mãe d'Água",1
"2010","04","Manaíra",1
"2010","04","Uiraúna",1
"2010","05","Alhandra",1
"2010","05","Brejo dos Santos",1
"2010","05","Catingueira",1
"2010","05","Logradouro",1
"2010","05","Mãe d'Água",1
"2010","05","Manaíra",1
"2010","05","Uiraúna",1
"2010","06","Alhandra",1
"2010","06","Brejo dos Santos",1
"2010","06","Catingueira",1
"2010","06","Logradouro",1
"2010","06","Mãe d'Água",1
"2010","06","Manaíra",1
"2010","06","Uiraúna",1
"2010","07","Alhandra",1
"2010","07","Aroeiras",1
"2010","07","Brejo dos Santos",1
"2010","07","Catingueira",1
"2010","07","Curral de Cima",1
"2010","07","Logradouro",1
"2010","07","Mãe d'Água",1
"2010","07","Manaíra",1
"2010","07","Uiraúna",1
"2010","08","Alhandra",1
"2010","08","Aroeiras",1
"2010","08","Brejo dos Santos",1
"2010","08","Catingueira",1
"2010","08","Logradouro",1
"2010","08","Mãe d'Água",1
"2010","08","Manaíra",1
"2010","08","Uiraúna",1
"2010","09","Alhandra",1
"2010","09","Aroeiras",1
"2010","09","Brejo dos Santos",1
"2010","09","Catingueira",1
"2010","09","Logradouro",1
"2010","09","Mãe d'Água",1
"2010","09","Manaíra",1
"2010","09","Uiraúna",1
"2010","10","Alhandra",1
"2010","10","Aroeiras",1
"2010","10","Brejo dos Santos",1
"2010","10","Catingueira",1
"2010","10","Logradouro",1
"2010","10","Mãe d'Água",1
"2010","10","Manaíra",1
"2010","10","Uiraúna",1
"2010","11","Aroeiras",1
"2010","11","Brejo dos Santos",1
"2010","11","Catingueira",1
"2010","11","Logradouro",1
"2010","11","Mãe d'Água",1
"2010","11","Manaíra",1
"2010","11","Riacho dos Cavalos",1
"2010","11","Uiraúna",1
"2010","12","Aroeiras",1
"2010","12","Brejo dos Santos",1
"2010","12","Catingueira",1
"2010","12","Logradouro",1
"2010","12","Mãe d'Água",1
"2010","12","Manaíra",1
"2010","12","Riacho dos Cavalos",1
"2010","12","Sousa",1
"2010","12","Uiraúna",1
"2011","11","Campina Grande",146
"2011","09","Campina Grande",145
"2011","10","Campina Grande",145
"2011","07","Campina Grande",142
"2011","08","Campina Grande",142
"2011","06","Campina Grande",141
"2011","03","Campina Grande",139
"2011","05","Campina Grande",139
"2011","04","Campina Grande",138
"2011","02","Campina Grande",126
"2011","01","Campina Grande",120
"2011","01","João Pessoa",93
"2011","03","João Pessoa",93
"2011","04","João Pessoa",93
"2011","05","João Pessoa",93
"2011","06","João Pessoa",93
"2011","08","João Pessoa",93
"2011","09","João Pessoa",93
"2011","02","João Pessoa",92
"2011","10","João Pessoa",92
"2011","11","João Pessoa",92
"2011","12","João Pessoa",92
"2011","07","João Pessoa",91
"2011","11","Sousa",52
"2011","01","Sousa",51
"2011","02","Sousa",51
"2011","03","Sousa",51
"2011","04","Sousa",51
"2011","05","Sousa",51
"2011","06","Sousa",51
"2011","07","Sousa",51
"2011","08","Sousa",51
"2011","09","Sousa",51
"2011","10","Sousa",51
"2011","11","Santa Rita",30
"2011","12","Santa Rita",30
"2011","10","Santa Rita",29
"2011","01","Santa Rita",28
"2011","02","Santa Rita",28
"2011","03","Santa Rita",28
"2011","04","Santa Rita",28
"2011","05","Santa Rita",28
"2011","06","Santa Rita",28
"2011","07","Santa Rita",28
"2011","08","Santa Rita",28
"2011","09","Santa Rita",28
"2011","01","Guarabira",12
"2011","02","Guarabira",12
"2011","03","Guarabira",12
"2011","04","Guarabira",12
"2011","05","Guarabira",12
"2011","06","Guarabira",12
"2011","07","Guarabira",12
"2011","08","Guarabira",12
"2011","09","Guarabira",12
"2011","10","Guarabira",12
"2011","11","Guarabira",12
"2011","12","Guarabira",12
"2011","02","Bayeux",10
"2011","03","Bayeux",10
"2011","04","Bayeux",10
"2011","05","Bayeux",10
"2011","06","Bayeux",10
"2011","07","Bayeux",10
"2011","08","Bayeux",10
"2011","10","Bayeux",10
"2011","11","Bayeux",10
"2011","12","Bayeux",10
"2011","01","Bayeux",9
"2011","10","Curral de Cima",9
"2011","11","Curral de Cima",9
"2011","12","Curral de Cima",9
"2011","09","Bayeux",8
"2011","01","Patos",6
"2011","02","Patos",6
"2011","03","Patos",6
"2011","04","Patos",6
"2011","05","Patos",6
"2011","06","Patos",6
"2011","07","Patos",6
"2011","08","Patos",6
"2011","09","Patos",6
"2011","10","Patos",6
"2011","11","Patos",6
"2011","12","Patos",6
"2011","10","Soledade",5
"2011","11","Soledade",5
"2011","12","Soledade",5
"2011","01","Cuité",4
"2011","01","Soledade",4
"2011","02","Cuité",4
"2011","02","Soledade",4
"2011","03","Cuité",4
"2011","03","Soledade",4
"2011","04","Cuité",4
"2011","04","Soledade",4
"2011","05","Cuité",4
"2011","05","Soledade",4
"2011","06","Cuité",4
"2011","07","Cuité",4
"2011","07","Curral de Cima",4
"2011","07","Soledade",4
"2011","08","Cuité",4
"2011","08","Soledade",4
"2011","09","Cuité",4
"2011","09","Curral de Cima",4
"2011","10","Cuité",4
"2011","11","Cuité",4
"2011","12","Cuité",4
"2011","01","Caaporã",3
"2011","01","Cuité de Mamanguape",3
"2011","01","Sapé",3
"2011","02","Caaporã",3
"2011","02","Cuité de Mamanguape",3
"2011","02","Sapé",3
"2011","03","Caaporã",3
"2011","03","Cuité de Mamanguape",3
"2011","03","Sapé",3
"2011","04","Caaporã",3
"2011","04","Cuité de Mamanguape",3
"2011","04","Sapé",3
"2011","05","Caaporã",3
"2011","05","Cuité de Mamanguape",3
"2011","05","Sapé",3
"2011","06","Caaporã",3
"2011","06","Cuité de Mamanguape",3
"2011","06","Sapé",3
"2011","07","Caaporã",3
"2011","07","Cuité de Mamanguape",3
"2011","08","Caaporã",3
"2011","08","Cuité de Mamanguape",3
"2011","08","Curral de Cima",3
"2011","09","Caaporã",3
"2011","09","Cuité de Mamanguape",3
"2011","10","Caaporã",3
"2011","10","Cuité de Mamanguape",3
"2011","11","Cuité de Mamanguape",3
"2011","12","Cuité de Mamanguape",3
"2011","01","Alhandra",2
"2011","01","Bananeiras",2
"2011","01","Camalaú",2
"2011","01","Solânea",2
"2011","02","Alhandra",2
"2011","02","Bananeiras",2
"2011","02","Camalaú",2
"2011","02","Solânea",2
"2011","03","Alhandra",2
"2011","03","Bananeiras",2
"2011","03","Camalaú",2
"2011","03","Curral de Cima",2
"2011","03","Solânea",2
"2011","04","Alhandra",2
"2011","04","Bananeiras",2
"2011","04","Camalaú",2
"2011","04","Curral de Cima",2
"2011","04","Solânea",2
"2011","05","Alhandra",2
"2011","05","Bananeiras",2
"2011","05","Camalaú",2
"2011","05","Curral de Cima",2
"2011","05","Solânea",2
"2011","06","Alhandra",2
"2011","06","Bananeiras",2
"2011","06","Camalaú",2
"2011","06","Curral de Cima",2
"2011","06","Solânea",2
"2011","07","Alhandra",2
"2011","07","Brejo dos Santos",2
"2011","07","Camalaú",2
"2011","07","Sapé",2
"2011","07","Solânea",2
"2011","08","Alhandra",2
"2011","08","Bananeiras",2
"2011","08","Camalaú",2
"2011","08","Sapé",2
"2011","08","Solânea",2
"2011","09","Alhandra",2
"2011","09","Bananeiras",2
"2011","09","Camalaú",2
"2011","09","Sapé",2
"2011","09","Solânea",2
"2011","10","Alhandra",2
"2011","10","Bananeiras",2
"2011","10","Camalaú",2
"2011","10","Sapé",2
"2011","10","Solânea",2
"2011","11","Alhandra",2
"2011","11","Bananeiras",2
"2011","11","Caaporã",2
"2011","11","Camalaú",2
"2011","11","Sapé",2
"2011","11","Solânea",2
"2011","12","Bananeiras",2
"2011","12","Sapé",2
"2011","12","Solânea",2
"2011","01","Aroeiras",1
"2011","01","Brejo dos Santos",1
"2011","01","Catingueira",1
"2011","01","Curral de Cima",1
"2011","01","Logradouro",1
"2011","01","Mãe d'Água",1
"2011","01","Manaíra",1
"2011","01","Riacho dos Cavalos",1
"2011","01","Uiraúna",1
"2011","02","Aroeiras",1
"2011","02","Brejo dos Santos",1
"2011","02","Catingueira",1
"2011","02","Curral de Cima",1
"2011","02","Mãe d'Água",1
"2011","02","Manaíra",1
"2011","02","Riacho dos Cavalos",1
"2011","02","Uiraúna",1
"2011","03","Brejo dos Santos",1
"2011","03","Catingueira",1
"2011","03","Mãe d'Água",1
"2011","03","Manaíra",1
"2011","03","Riacho dos Cavalos",1
"2011","03","Uiraúna",1
"2011","04","Aroeiras",1
"2011","04","Brejo dos Santos",1
"2011","04","Catingueira",1
"2011","04","Mãe d'Água",1
"2011","04","Manaíra",1
"2011","04","Riacho dos Cavalos",1
"2011","04","Uiraúna",1
"2011","05","Aroeiras",1
"2011","05","Brejo dos Santos",1
"2011","05","Catingueira",1
"2011","05","Mãe d'Água",1
"2011","05","Manaíra",1
"2011","05","Riacho dos Cavalos",1
"2011","05","Uiraúna",1
"2011","06","Aroeiras",1
"2011","06","Brejo dos Santos",1
"2011","06","Catingueira",1
"2011","06","Mãe d'Água",1
"2011","06","Manaíra",1
"2011","06","Riacho dos Cavalos",1
"2011","06","Uiraúna",1
"2011","07","Aroeiras",1
"2011","07","Catingueira",1
"2011","07","Mãe d'Água",1
"2011","07","Manaíra",1
"2011","07","Riacho dos Cavalos",1
"2011","07","Uiraúna",1
"2011","08","Aroeiras",1
"2011","08","Brejo dos Santos",1
"2011","08","Catingueira",1
"2011","08","Mãe d'Água",1
"2011","08","Manaíra",1
"2011","08","Riacho dos Cavalos",1
"2011","08","Uiraúna",1
"2011","09","Aroeiras",1
"2011","09","Brejo dos Santos",1
"2011","09","Catingueira",1
"2011","09","Mãe d'Água",1
"2011","09","Manaíra",1
"2011","09","Riacho dos Cavalos",1
"2011","09","Uiraúna",1
"2011","10","Aroeiras",1
"2011","10","Brejo dos Santos",1
"2011","10","Catingueira",1
"2011","10","Mãe d'Água",1
"2011","10","Manaíra",1
"2011","10","Riacho dos Cavalos",1
"2011","10","Uiraúna",1
"2011","11","Aroeiras",1
"2011","11","Brejo dos Santos",1
"2011","11","Catingueira",1
"2011","11","Mãe d'Água",1
"2011","11","Manaíra",1
"2011","11","Riacho dos Cavalos",1
"2011","11","Uiraúna",1
"2011","12","Aroeiras",1
"2011","12","Brejo dos Santos",1
"2011","12","Catingueira",1
"2011","12","Mãe d'Água",1
"2011","12","Manaíra",1
"2011","12","Riacho dos Cavalos",1
"2011","12","Sousa",1
"2011","12","Uiraúna",1
"2012","12","Campina Grande",177
"2012","06","Campina Grande",159
"2012","07","Campina Grande",158
"2012","08","Campina Grande",157
"2012","10","Campina Grande",157
"2012","05","Campina Grande",156
"2012","09","Campina Grande",156
"2012","04","Campina Grande",154
"2012","11","Campina Grande",154
"2012","03","Campina Grande",151
"2012","02","Campina Grande",149
"2012","01","Campina Grande",147
"2012","11","João Pessoa",94
"2012","12","João Pessoa",94
"2012","01","João Pessoa",93
"2012","02","João Pessoa",93
"2012","03","João Pessoa",93
"2012","04","João Pessoa",93
"2012","05","João Pessoa",93
"2012","06","João Pessoa",93
"2012","07","João Pessoa",93
"2012","08","João Pessoa",93
"2012","09","João Pessoa",93
"2012","10","João Pessoa",93
"2012","08","Sousa",52
"2012","12","Sousa",52
"2012","01","Sousa",51
"2012","02","Sousa",51
"2012","03","Sousa",51
"2012","04","Sousa",51
"2012","05","Sousa",51
"2012","06","Sousa",51
"2012","07","Sousa",51
"2012","09","Sousa",51
"2012","10","Sousa",51
"2012","11","Sousa",51
"2012","12","Santa Rita",39
"2012","04","Santa Rita",37
"2012","05","Santa Rita",37
"2012","06","Santa Rita",37
"2012","07","Santa Rita",37
"2012","08","Santa Rita",37
"2012","09","Santa Rita",37
"2012","10","Santa Rita",37
"2012","11","Santa Rita",37
"2012","01","Santa Rita",33
"2012","02","Santa Rita",33
"2012","03","Santa Rita",33
"2012","08","Bayeux",14
"2012","09","Bayeux",14
"2012","10","Bayeux",14
"2012","07","Bayeux",13
"2012","11","Bayeux",13
"2012","12","Bayeux",13
"2012","01","Guarabira",12
"2012","02","Guarabira",12
"2012","03","Guarabira",12
"2012","04","Bayeux",12
"2012","04","Guarabira",12
"2012","04","Patos",12
"2012","05","Bayeux",12
"2012","05","Guarabira",12
"2012","05","Patos",12
"2012","06","Bayeux",12
"2012","06","Guarabira",12
"2012","06","Patos",12
"2012","07","Guarabira",12
"2012","07","Patos",12
"2012","08","Guarabira",12
"2012","08","Patos",12
"2012","09","Guarabira",12
"2012","09","Patos",12
"2012","10","Guarabira",12
"2012","10","Patos",12
"2012","11","Guarabira",12
"2012","11","Patos",12
"2012","12","Guarabira",12
"2012","02","Bayeux",11
"2012","03","Bayeux",11
"2012","01","Bayeux",10
"2012","03","Patos",10
"2012","12","Patos",9
"2012","01","Curral de Cima",7
"2012","02","Curral de Cima",7
"2012","03","Curral de Cima",7
"2012","04","Curral de Cima",7
"2012","05","Curral de Cima",7
"2012","06","Curral de Cima",7
"2012","07","Curral de Cima",7
"2012","08","Curral de Cima",7
"2012","09","Curral de Cima",7
