"ano","mes","cidade","quantidade.assessor"
"2008","07","Patos",1
"2009","12","Santa Rita",102
"2009","06","Santa Rita",92
"2009","09","Santa Rita",88
"2009","11","Santa Rita",88
"2009","03","Santa Rita",85
"2009","10","Santa Rita",85
"2009","01","Santa Rita",84
"2009","02","Santa Rita",84
"2009","04","Santa Rita",84
"2009","05","Santa Rita",84
"2009","07","Santa Rita",83
"2009","08","Santa Rita",83
"2009","04","Conde",37
"2009","05","Conde",37
"2009","06","Conde",37
"2009","07","Conde",36
"2009","08","Conde",36
"2009","09","Conde",36
"2009","10","Conde",36
"2009","11","Conde",36
"2009","12","Conde",36
"2009","08","Caaporã",32
"2009","09","Caaporã",32
"2009","10","Caaporã",32
"2009","11","Caaporã",32
"2009","12","Caaporã",32
"2009","02","Guarabira",31
"2009","03","Guarabira",31
"2009","04","Guarabira",31
"2009","05","Guarabira",31
"2009","06","Guarabira",31
"2009","07","Guarabira",31
"2009","08","Guarabira",31
"2009","09","Guarabira",31
"2009","10","Guarabira",31
"2009","11","Guarabira",31
"2009","12","Guarabira",31
"2009","01","Guarabira",30
"2009","01","Itabaiana",29
"2009","02","Conde",29
"2009","02","Itabaiana",29
"2009","03","Conde",29
"2009","03","Itabaiana",29
"2009","03","Patos",29
"2009","04","Patos",29
"2009","05","Patos",29
"2009","06","Patos",29
"2009","07","Patos",29
"2009","08","Patos",29
"2009","12","Sapé",29
"2009","01","Conde",28
"2009","02","Patos",28
"2009","06","Caaporã",27
"2009","09","Queimadas",27
"2009","10","Queimadas",27
"2009","11","Queimadas",27
"2009","12","Jacaraú",27
"2009","12","Queimadas",27
"2009","07","Caaporã",26
"2009","07","Queimadas",25
"2009","08","Queimadas",25
"2009","09","Bayeux",25
"2009","09","Patos",25
"2009","10","Bayeux",25
"2009","10","Patos",25
"2009","11","Patos",25
"2009","12","Patos",25
"2009","05","Caaporã",24
"2009","08","Bayeux",24
"2009","11","Itabaiana",24
"2009","12","Itabaiana",24
"2009","01","Patos",23
"2009","01","Sapé",23
"2009","02","Sapé",23
"2009","03","Caaporã",23
"2009","03","Sapé",23
"2009","04","Caaporã",23
"2009","04","Sapé",23
"2009","05","Sapé",23
"2009","06","Bayeux",23
"2009","06","Sapé",23
"2009","07","Sapé",23
"2009","08","Sapé",23
"2009","09","Sapé",23
"2009","10","Sapé",23
"2009","11","Sapé",23
"2009","01","Caaporã",22
"2009","01","São José de Princesa",22
"2009","02","Caaporã",22
"2009","02","São José de Princesa",22
"2009","03","São José de Princesa",22
"2009","04","São José de Princesa",22
"2009","05","São José de Princesa",22
"2009","06","Queimadas",22
"2009","06","São José de Princesa",22
"2009","07","Bayeux",22
"2009","07","São José de Princesa",22
"2009","08","São José de Princesa",22
"2009","09","São José de Princesa",22
"2009","10","São José de Princesa",22
"2009","11","São José de Princesa",22
"2009","01","Bayeux",21
"2009","02","Bayeux",21
"2009","03","Bayeux",21
"2009","04","Bayeux",21
"2009","05","Bayeux",21
"2009","05","Queimadas",21
"2009","10","Itabaiana",21
