"ano","mes","cidade","orgao","de_tipocargo","quantidade"
"2009","01","Água Branca","Câmara Municipal","Comissionado",2
"2009","01","Água Branca","Câmara Municipal","Efetivo",8
"2009","01","Água Branca","Câmara Municipal","Eletivo",9
"2009","02","Água Branca","Câmara Municipal","Comissionado",2
"2009","02","Água Branca","Câmara Municipal","Efetivo",8
"2009","02","Água Branca","Câmara Municipal","Eletivo",9
"2009","03","Água Branca","Câmara Municipal","Comissionado",2
"2009","03","Água Branca","Câmara Municipal","Efetivo",8
"2009","03","Água Branca","Câmara Municipal","Eletivo",9
"2009","04","Água Branca","Câmara Municipal","Comissionado",2
"2009","04","Água Branca","Câmara Municipal","Efetivo",8
"2009","04","Água Branca","Câmara Municipal","Eletivo",9
"2009","05","Água Branca","Câmara Municipal","Comissionado",2
"2009","05","Água Branca","Câmara Municipal","Efetivo",8
"2009","05","Água Branca","Câmara Municipal","Eletivo",9
"2009","06","Água Branca","Câmara Municipal","Comissionado",2
"2009","06","Água Branca","Câmara Municipal","Efetivo",8
"2009","06","Água Branca","Câmara Municipal","Eletivo",9
"2009","07","Água Branca","Câmara Municipal","Comissionado",2
"2009","07","Água Branca","Câmara Municipal","Efetivo",8
"2009","07","Água Branca","Câmara Municipal","Eletivo",9
"2009","08","Água Branca","Câmara Municipal","Comissionado",2
"2009","08","Água Branca","Câmara Municipal","Efetivo",8
"2009","08","Água Branca","Câmara Municipal","Eletivo",9
"2009","09","Água Branca","Câmara Municipal","Comissionado",1
"2009","09","Água Branca","Câmara Municipal","Efetivo",8
"2009","09","Água Branca","Câmara Municipal","Eletivo",9
"2009","10","Água Branca","Câmara Municipal","Comissionado",1
"2009","10","Água Branca","Câmara Municipal","Efetivo",8
"2009","10","Água Branca","Câmara Municipal","Eletivo",9
"2009","11","Água Branca","Câmara Municipal","Comissionado",1
"2009","11","Água Branca","Câmara Municipal","Efetivo",8
"2009","11","Água Branca","Câmara Municipal","Eletivo",9
"2009","12","Água Branca","Câmara Municipal","Comissionado",1
"2009","12","Água Branca","Câmara Municipal","Efetivo",8
"2009","12","Água Branca","Câmara Municipal","Eletivo",9
"2010","01","Água Branca","Câmara Municipal","Comissionado",2
"2010","01","Água Branca","Câmara Municipal","Efetivo",8
"2010","01","Água Branca","Câmara Municipal","Eletivo",9
"2010","02","Água Branca","Câmara Municipal","Comissionado",2
"2010","02","Água Branca","Câmara Municipal","Efetivo",8
