"ano","mes","cidade","orgao","de_tipocargo","quantidade"
"2010","02","Água Branca","Câmara Municipal","Eletivo",9
"2010","03","Água Branca","Câmara Municipal","Comissionado",2
"2010","03","Água Branca","Câmara Municipal","Efetivo",9
"2010","03","Água Branca","Câmara Municipal","Eletivo",9
"2010","04","Água Branca","Câmara Municipal","Comissionado",2
"2010","04","Água Branca","Câmara Municipal","Efetivo",8
"2010","04","Água Branca","Câmara Municipal","Eletivo",9
"2010","05","Água Branca","Câmara Municipal","Comissionado",2
"2010","05","Água Branca","Câmara Municipal","Efetivo",8
"2010","05","Água Branca","Câmara Municipal","Eletivo",9
"2010","06","Água Branca","Câmara Municipal","Comissionado",2
"2010","06","Água Branca","Câmara Municipal","Efetivo",8
"2010","06","Água Branca","Câmara Municipal","Eletivo",9
"2010","07","Água Branca","Câmara Municipal","Comissionado",2
"2010","07","Água Branca","Câmara Municipal","Efetivo",8
"2010","07","Água Branca","Câmara Municipal","Eletivo",9
"2010","08","Água Branca","Câmara Municipal","Comissionado",2
"2010","08","Água Branca","Câmara Municipal","Efetivo",8
"2010","08","Água Branca","Câmara Municipal","Eletivo",9
"2010","09","Água Branca","Câmara Municipal","Comissionado",1
"2010","09","Água Branca","Câmara Municipal","Efetivo",8
"2010","09","Água Branca","Câmara Municipal","Eletivo",9
"2010","10","Água Branca","Câmara Municipal","Comissionado",1
"2010","10","Água Branca","Câmara Municipal","Efetivo",8
"2010","10","Água Branca","Câmara Municipal","Eletivo",9
"2010","11","Água Branca","Câmara Municipal","Comissionado",1
"2010","11","Água Branca","Câmara Municipal","Efetivo",8
"2010","11","Água Branca","Câmara Municipal","Eletivo",9
"2010","12","Água Branca","Câmara Municipal","Comissionado",1
"2010","12","Água Branca","Câmara Municipal","Efetivo",8
"2010","12","Água Branca","Câmara Municipal","Eletivo",9
"2011","01","Água Branca","Câmara Municipal","Comissionado",1
"2011","01","Água Branca","Câmara Municipal","Efetivo",8
"2011","01","Água Branca","Câmara Municipal","Eletivo",9
"2011","02","Água Branca","Câmara Municipal","Comissionado",1
"2011","02","Água Branca","Câmara Municipal","Efetivo",8
"2011","02","Água Branca","Câmara Municipal","Eletivo",9
"2011","03","Água Branca","Câmara Municipal","Comissionado",1
"2011","03","Água Branca","Câmara Municipal","Efetivo",8
"2011","03","Água Branca","Câmara Municipal","Eletivo",9
"2011","04","Água Branca","Câmara Municipal","Comissionado",1
"2011","04","Água Branca","Câmara Municipal","Efetivo",8
"2011","04","Água Branca","Câmara Municipal","Eletivo",9
"2011","05","Água Branca","Câmara Municipal","Comissionado",1
"2011","05","Água Branca","Câmara Municipal","Efetivo",8
"2011","05","Água Branca","Câmara Municipal","Eletivo",9
"2011","06","Água Branca","Câmara Municipal","Comissionado",1
"2011","06","Água Branca","Câmara Municipal","Efetivo",8
"2011","06","Água Branca","Câmara Municipal","Eletivo",9
"2011","07","Água Branca","Câmara Municipal","Comissionado",1
"2011","07","Água Branca","Câmara Municipal","Efetivo",8
"2011","07","Água Branca","Câmara Municipal","Eletivo",9
"2011","08","Água Branca","Câmara Municipal","Comissionado",1
"2011","08","Água Branca","Câmara Municipal","Efetivo",8
"2011","08","Água Branca","Câmara Municipal","Eletivo",9
"2011","09","Água Branca","Câmara Municipal","Comissionado",1
"2011","09","Água Branca","Câmara Municipal","Efetivo",8
"2011","09","Água Branca","Câmara Municipal","Eletivo",9
"2011","10","Água Branca","Câmara Municipal","Comissionado",1
"2011","10","Água Branca","Câmara Municipal","Efetivo",8
"2011","10","Água Branca","Câmara Municipal","Eletivo",9
"2011","11","Água Branca","Câmara Municipal","Comissionado",1
"2011","11","Água Branca","Câmara Municipal","Efetivo",8
"2011","11","Água Branca","Câmara Municipal","Eletivo",9
"2011","12","Água Branca","Câmara Municipal","Comissionado",1
"2011","12","Água Branca","Câmara Municipal","Efetivo",8
"2011","12","Água Branca","Câmara Municipal","Eletivo",9
"2012","01","Água Branca","Câmara Municipal","Comissionado",1
"2012","01","Água Branca","Câmara Municipal","Efetivo",8
"2012","01","Água Branca","Câmara Municipal","Eletivo",9
"2012","02","Água Branca","Câmara Municipal","Comissionado",1
"2012","02","Água Branca","Câmara Municipal","Efetivo",8
"2012","02","Água Branca","Câmara Municipal","Eletivo",9
"2012","03","Água Branca","Câmara Municipal","Comissionado",1
"2012","03","Água Branca","Câmara Municipal","Efetivo",8
"2012","03","Água Branca","Câmara Municipal","Eletivo",9
"2012","04","Água Branca","Câmara Municipal","Comissionado",1
"2012","04","Água Branca","Câmara Municipal","Efetivo",8
"2012","04","Água Branca","Câmara Municipal","Eletivo",9
"2012","05","Água Branca","Câmara Municipal","Comissionado",1
"2012","05","Água Branca","Câmara Municipal","Efetivo",8
"2012","05","Água Branca","Câmara Municipal","Eletivo",9
"2012","06","Água Branca","Câmara Municipal","Comissionado",1
"2012","06","Água Branca","Câmara Municipal","Efetivo",8
"2012","06","Água Branca","Câmara Municipal","Eletivo",9
"2012","07","Água Branca","Câmara Municipal","Comissionado",1
"2012","07","Água Branca","Câmara Municipal","Efetivo",8
"2012","07","Água Branca","Câmara Municipal","Eletivo",9
"2012","08","Água Branca","Câmara Municipal","Comissionado",1
"2012","08","Água Branca","Câmara Municipal","Efetivo",8
"2012","08","Água Branca","Câmara Municipal","Eletivo",9
"2012","09","Água Branca","Câmara Municipal","Comissionado",1
"2012","09","Água Branca","Câmara Municipal","Efetivo",8
"2012","09","Água Branca","Câmara Municipal","Eletivo",9
"2012","10","Água Branca","Câmara Municipal","Comissionado",1
"2012","10","Água Branca","Câmara Municipal","Efetivo",8
"2012","10","Água Branca","Câmara Municipal","Eletivo",9
"2012","11","Água Branca","Câmara Municipal","Comissionado",1
"2012","11","Água Branca","Câmara Municipal","Efetivo",8
"2012","11","Água Branca","Câmara Municipal","Eletivo",9
"2012","12","Água Branca","Câmara Municipal","Comissionado",1
"2012","12","Água Branca","Câmara Municipal","Efetivo",8
"2012","12","Água Branca","Câmara Municipal","Eletivo",9
"2013","01","Água Branca","Câmara Municipal","Comissionado",1
"2013","01","Água Branca","Câmara Municipal","Efetivo",8
"2013","01","Água Branca","Câmara Municipal","Eletivo",9
"2013","02","Água Branca","Câmara Municipal","Comissionado",1
"2013","02","Água Branca","Câmara Municipal","Efetivo",8
"2013","02","Água Branca","Câmara Municipal","Eletivo",9
"2013","03","Água Branca","Câmara Municipal","Comissionado",1
"2013","03","Água Branca","Câmara Municipal","Efetivo",8
"2013","03","Água Branca","Câmara Municipal","Eletivo",9
"2013","04","Água Branca","Câmara Municipal","Comissionado",1
"2013","04","Água Branca","Câmara Municipal","Efetivo",8
"2013","04","Água Branca","Câmara Municipal","Eletivo",9
"2013","05","Água Branca","Câmara Municipal","Comissionado",1
"2013","05","Água Branca","Câmara Municipal","Efetivo",8
"2013","05","Água Branca","Câmara Municipal","Eletivo",9
"2013","06","Água Branca","Câmara Municipal","Comissionado",1
"2013","06","Água Branca","Câmara Municipal","Efetivo",8
"2013","06","Água Branca","Câmara Municipal","Eletivo",9
"2013","07","Água Branca","Câmara Municipal","Comissionado",1
"2013","07","Água Branca","Câmara Municipal","Efetivo",8
"2013","07","Água Branca","Câmara Municipal","Eletivo",9
"2013","08","Água Branca","Câmara Municipal","Comissionado",1
"2013","08","Água Branca","Câmara Municipal","Efetivo",8
"2013","08","Água Branca","Câmara Municipal","Eletivo",9
"2013","09","Água Branca","Câmara Municipal","Comissionado",1
"2013","09","Água Branca","Câmara Municipal","Efetivo",8
"2013","09","Água Branca","Câmara Municipal","Eletivo",9
"2013","10","Água Branca","Câmara Municipal","Comissionado",1
"2013","10","Água Branca","Câmara Municipal","Efetivo",8
"2013","10","Água Branca","Câmara Municipal","Eletivo",9
"2013","11","Água Branca","Câmara Municipal","Comissionado",1
"2013","11","Água Branca","Câmara Municipal","Efetivo",8
"2013","11","Água Branca","Câmara Municipal","Eletivo",9
"2013","12","Água Branca","Câmara Municipal","Comissionado",1
"2013","12","Água Branca","Câmara Municipal","Efetivo",8
"2013","12","Água Branca","Câmara Municipal","Eletivo",9
"2014","01","Água Branca","Câmara Municipal","Comissionado",1
"2014","01","Água Branca","Câmara Municipal","Efetivo",8
"2014","01","Água Branca","Câmara Municipal","Eletivo",9
"2014","02","Água Branca","Câmara Municipal","Comissionado",1
"2014","02","Água Branca","Câmara Municipal","Efetivo",8
"2014","02","Água Branca","Câmara Municipal","Eletivo",9
"2014","03","Água Branca","Câmara Municipal","Comissionado",1
"2014","03","Água Branca","Câmara Municipal","Efetivo",8
"2014","03","Água Branca","Câmara Municipal","Eletivo",9
"2014","04","Água Branca","Câmara Municipal","Comissionado",1
"2014","04","Água Branca","Câmara Municipal","Efetivo",8
"2014","04","Água Branca","Câmara Municipal","Eletivo",9
"2014","05","Água Branca","Câmara Municipal","Comissionado",1
"2014","05","Água Branca","Câmara Municipal","Efetivo",8
"2014","05","Água Branca","Câmara Municipal","Eletivo",9
"2014","06","Água Branca","Câmara Municipal","Comissionado",1
"2014","06","Água Branca","Câmara Municipal","Efetivo",8
"2014","06","Água Branca","Câmara Municipal","Eletivo",9
"2014","07","Água Branca","Câmara Municipal","Comissionado",1
"2014","07","Água Branca","Câmara Municipal","Efetivo",8
"2014","07","Água Branca","Câmara Municipal","Eletivo",9
"2014","08","Água Branca","Câmara Municipal","Comissionado",1
"2014","08","Água Branca","Câmara Municipal","Efetivo",8
"2014","08","Água Branca","Câmara Municipal","Eletivo",9
"2014","09","Água Branca","Câmara Municipal","Comissionado",1
"2014","09","Água Branca","Câmara Municipal","Efetivo",8
"2014","09","Água Branca","Câmara Municipal","Eletivo",9
"2014","10","Água Branca","Câmara Municipal","Comissionado",1
"2014","10","Água Branca","Câmara Municipal","Efetivo",8
"2014","10","Água Branca","Câmara Municipal","Eletivo",9
"2014","11","Água Branca","Câmara Municipal","Comissionado",1
"2014","11","Água Branca","Câmara Municipal","Efetivo",8
"2014","11","Água Branca","Câmara Municipal","Eletivo",9
"2014","12","Água Branca","Câmara Municipal","Comissionado",1
"2014","12","Água Branca","Câmara Municipal","Efetivo",8
"2014","12","Água Branca","Câmara Municipal","Eletivo",9
"2015","01","Água Branca","Câmara Municipal","Comissionado",1
"2015","01","Água Branca","Câmara Municipal","Efetivo",8
"2015","01","Água Branca","Câmara Municipal","Eletivo",9
"2015","02","Água Branca","Câmara Municipal","Comissionado",1
"2015","02","Água Branca","Câmara Municipal","Efetivo",8
"2015","02","Água Branca","Câmara Municipal","Eletivo",9
"2015","03","Água Branca","Câmara Municipal","Comissionado",1
"2015","03","Água Branca","Câmara Municipal","Efetivo",8
"2015","03","Água Branca","Câmara Municipal","Eletivo",9
"2015","04","Água Branca","Câmara Municipal","Comissionado",1
"2015","04","Água Branca","Câmara Municipal","Efetivo",8
"2015","04","Água Branca","Câmara Municipal","Eletivo",9
"2015","05","Água Branca","Câmara Municipal","Comissionado",1
"2015","05","Água Branca","Câmara Municipal","Efetivo",8
"2015","05","Água Branca","Câmara Municipal","Eletivo",9
"2015","06","Água Branca","Câmara Municipal","Comissionado",1
"2015","06","Água Branca","Câmara Municipal","Efetivo",8
"2015","06","Água Branca","Câmara Municipal","Eletivo",9
"2015","07","Água Branca","Câmara Municipal","Comissionado",1
"2015","07","Água Branca","Câmara Municipal","Efetivo",8
"2015","07","Água Branca","Câmara Municipal","Eletivo",9
"2015","08","Água Branca","Câmara Municipal","Comissionado",1
"2015","08","Água Branca","Câmara Municipal","Efetivo",8
"2015","08","Água Branca","Câmara Municipal","Eletivo",9
"2015","09","Água Branca","Câmara Municipal","Comissionado",1
"2015","09","Água Branca","Câmara Municipal","Efetivo",8
"2015","09","Água Branca","Câmara Municipal","Eletivo",9
"2015","10","Água Branca","Câmara Municipal","Comissionado",1
"2015","10","Água Branca","Câmara Municipal","Efetivo",8
"2015","10","Água Branca","Câmara Municipal","Eletivo",9
"2015","11","Água Branca","Câmara Municipal","Comissionado",1
"2015","11","Água Branca","Câmara Municipal","Efetivo",8
"2015","11","Água Branca","Câmara Municipal","Eletivo",9
"2015","12","Água Branca","Câmara Municipal","Comissionado",1
"2015","12","Água Branca","Câmara Municipal","Efetivo",8
"2015","12","Água Branca","Câmara Municipal","Eletivo",9
"2016","01","Água Branca","Câmara Municipal","Comissionado",1
"2016","01","Água Branca","Câmara Municipal","Efetivo",8
"2016","01","Água Branca","Câmara Municipal","Eletivo",9
"2016","03","Água Branca","Câmara Municipal","Comissionado",1
"2016","03","Água Branca","Câmara Municipal","Contratação por excepcional interesse público",1
"2016","03","Água Branca","Câmara Municipal","Efetivo",8
"2016","03","Água Branca","Câmara Municipal","Eletivo",9
"2016","04","Água Branca","Câmara Municipal","Comissionado",1
"2016","04","Água Branca","Câmara Municipal","Contratação por excepcional interesse público",1
"2016","04","Água Branca","Câmara Municipal","Efetivo",8
"2016","04","Água Branca","Câmara Municipal","Eletivo",9
"2016","05","Água Branca","Câmara Municipal","Comissionado",1
"2016","05","Água Branca","Câmara Municipal","Contratação por excepcional interesse público",1
"2016","05","Água Branca","Câmara Municipal","Efetivo",8
"2016","05","Água Branca","Câmara Municipal","Eletivo",9
"2009","01","Aguiar","Câmara Municipal","Comissionado",4
"2009","01","Aguiar","Câmara Municipal","Eletivo",9
"2009","02","Aguiar","Câmara Municipal","Comissionado",4
"2009","02","Aguiar","Câmara Municipal","Eletivo",9
"2009","03","Aguiar","Câmara Municipal","Comissionado",4
"2009","03","Aguiar","Câmara Municipal","Eletivo",9
"2009","04","Aguiar","Câmara Municipal","Comissionado",4
"2009","04","Aguiar","Câmara Municipal","Eletivo",9
"2009","05","Aguiar","Câmara Municipal","Comissionado",4
"2009","05","Aguiar","Câmara Municipal","Eletivo",9
"2009","06","Aguiar","Câmara Municipal","Comissionado",4
"2009","06","Aguiar","Câmara Municipal","Eletivo",9
"2009","07","Aguiar","Câmara Municipal","Comissionado",5
"2009","07","Aguiar","Câmara Municipal","Eletivo",9
"2009","08","Aguiar","Câmara Municipal","Comissionado",5
"2009","08","Aguiar","Câmara Municipal","Eletivo",9
"2009","09","Aguiar","Câmara Municipal","Comissionado",4
"2009","09","Aguiar","Câmara Municipal","Contratação por excepcional interesse público",1
"2009","09","Aguiar","Câmara Municipal","Eletivo",9
"2009","10","Aguiar","Câmara Municipal","Comissionado",3
"2009","10","Aguiar","Câmara Municipal","Contratação por excepcional interesse público",2
"2009","10","Aguiar","Câmara Municipal","Eletivo",9
"2009","11","Aguiar","Câmara Municipal","Comissionado",5
"2009","11","Aguiar","Câmara Municipal","Eletivo",9
"2009","12","Aguiar","Câmara Municipal","Comissionado",5
"2009","12","Aguiar","Câmara Municipal","Eletivo",9
"2010","01","Aguiar","Câmara Municipal","Comissionado",3
"2010","01","Aguiar","Câmara Municipal","Eletivo",9
"2010","02","Aguiar","Câmara Municipal","Comissionado",3
"2010","02","Aguiar","Câmara Municipal","Eletivo",9
"2010","03","Aguiar","Câmara Municipal","Comissionado",3
"2010","03","Aguiar","Câmara Municipal","Eletivo",9
"2010","04","Aguiar","Câmara Municipal","Comissionado",3
"2010","04","Aguiar","Câmara Municipal","Eletivo",9
"2010","05","Aguiar","Câmara Municipal","Comissionado",3
"2010","05","Aguiar","Câmara Municipal","Eletivo",9
"2010","06","Aguiar","Câmara Municipal","Comissionado",3
"2010","06","Aguiar","Câmara Municipal","Eletivo",9
"2010","07","Aguiar","Câmara Municipal","Comissionado",3
"2010","07","Aguiar","Câmara Municipal","Eletivo",9
"2010","08","Aguiar","Câmara Municipal","Comissionado",3
"2010","08","Aguiar","Câmara Municipal","Eletivo",9
"2010","09","Aguiar","Câmara Municipal","Comissionado",3
"2010","09","Aguiar","Câmara Municipal","Eletivo",9
"2010","10","Aguiar","Câmara Municipal","Comissionado",3
"2010","10","Aguiar","Câmara Municipal","Eletivo",9
"2010","11","Aguiar","Câmara Municipal","Comissionado",3
"2010","11","Aguiar","Câmara Municipal","Eletivo",9
"2010","12","Aguiar","Câmara Municipal","Comissionado",3
"2010","12","Aguiar","Câmara Municipal","Eletivo",9
"2011","01","Aguiar","Câmara Municipal","Eletivo",9
"2011","02","Aguiar","Câmara Municipal","Eletivo",9
"2011","03","Aguiar","Câmara Municipal","Comissionado",3
"2011","03","Aguiar","Câmara Municipal","Eletivo",9
"2011","04","Aguiar","Câmara Municipal","Comissionado",3
"2011","04","Aguiar","Câmara Municipal","Eletivo",8
"2011","05","Aguiar","Câmara Municipal","Comissionado",3
"2011","05","Aguiar","Câmara Municipal","Eletivo",9
"2011","06","Aguiar","Câmara Municipal","Comissionado",3
"2011","06","Aguiar","Câmara Municipal","Eletivo",9
"2011","07","Aguiar","Câmara Municipal","Comissionado",3
"2011","07","Aguiar","Câmara Municipal","Eletivo",9
"2011","08","Aguiar","Câmara Municipal","Comissionado",3
"2011","08","Aguiar","Câmara Municipal","Eletivo",9
"2011","09","Aguiar","Câmara Municipal","Comissionado",3
"2011","09","Aguiar","Câmara Municipal","Eletivo",9
"2011","10","Aguiar","Câmara Municipal","Comissionado",3
"2011","10","Aguiar","Câmara Municipal","Eletivo",9
"2011","11","Aguiar","Câmara Municipal","Comissionado",3
"2011","11","Aguiar","Câmara Municipal","Eletivo",9
"2012","01","Aguiar","Câmara Municipal","Comissionado",3
"2012","01","Aguiar","Câmara Municipal","Eletivo",9
"2012","02","Aguiar","Câmara Municipal","Comissionado",3
"2012","02","Aguiar","Câmara Municipal","Eletivo",9
"2012","03","Aguiar","Câmara Municipal","Comissionado",3
"2012","03","Aguiar","Câmara Municipal","Eletivo",9
"2012","04","Aguiar","Câmara Municipal","Comissionado",3
"2012","04","Aguiar","Câmara Municipal","Eletivo",9
"2012","05","Aguiar","Câmara Municipal","Comissionado",3
"2012","05","Aguiar","Câmara Municipal","Eletivo",9
"2012","06","Aguiar","Câmara Municipal","Comissionado",3
"2012","06","Aguiar","Câmara Municipal","Eletivo",9
"2012","07","Aguiar","Câmara Municipal","Comissionado",3
"2012","07","Aguiar","Câmara Municipal","Eletivo",9
"2012","08","Aguiar","Câmara Municipal","Comissionado",3
"2012","08","Aguiar","Câmara Municipal","Eletivo",9
"2012","09","Aguiar","Câmara Municipal","Comissionado",3
"2012","09","Aguiar","Câmara Municipal","Eletivo",9
"2012","10","Aguiar","Câmara Municipal","Comissionado",3
"2012","10","Aguiar","Câmara Municipal","Eletivo",9
"2012","11","Aguiar","Câmara Municipal","Comissionado",3
"2012","11","Aguiar","Câmara Municipal","Eletivo",9
"2012","12","Aguiar","Câmara Municipal","Comissionado",3
"2012","12","Aguiar","Câmara Municipal","Eletivo",9
"2013","01","Aguiar","Câmara Municipal","Comissionado",4
"2013","01","Aguiar","Câmara Municipal","Eletivo",9
"2013","02","Aguiar","Câmara Municipal","Comissionado",4
"2013","02","Aguiar","Câmara Municipal","Eletivo",9
"2013","03","Aguiar","Câmara Municipal","Comissionado",4
"2013","03","Aguiar","Câmara Municipal","Eletivo",9
"2013","04","Aguiar","Câmara Municipal","Comissionado",4
"2013","04","Aguiar","Câmara Municipal","Eletivo",9
"2013","05","Aguiar","Câmara Municipal","Comissionado",4
"2013","05","Aguiar","Câmara Municipal","Eletivo",9
"2013","06","Aguiar","Câmara Municipal","Comissionado",4
"2013","06","Aguiar","Câmara Municipal","Eletivo",9
"2013","07","Aguiar","Câmara Municipal","Comissionado",4
"2013","07","Aguiar","Câmara Municipal","Eletivo",9
"2013","08","Aguiar","Câmara Municipal","Comissionado",4
"2013","08","Aguiar","Câmara Municipal","Eletivo",9
"2013","09","Aguiar","Câmara Municipal","Comissionado",4
"2013","09","Aguiar","Câmara Municipal","Eletivo",9
"2013","10","Aguiar","Câmara Municipal","Comissionado",4
"2013","10","Aguiar","Câmara Municipal","Eletivo",9
"2013","11","Aguiar","Câmara Municipal","Comissionado",4
"2013","11","Aguiar","Câmara Municipal","Eletivo",9
"2013","12","Aguiar","Câmara Municipal","Comissionado",6
"2013","12","Aguiar","Câmara Municipal","Eletivo",9
"2014","01","Aguiar","Câmara Municipal","Comissionado",4
"2014","01","Aguiar","Câmara Municipal","Eletivo",9
"2014","02","Aguiar","Câmara Municipal","Comissionado",4
"2014","02","Aguiar","Câmara Municipal","Eletivo",9
"2014","03","Aguiar","Câmara Municipal","Comissionado",4
"2014","03","Aguiar","Câmara Municipal","Eletivo",9
"2014","04","Aguiar","Câmara Municipal","Comissionado",4
"2014","04","Aguiar","Câmara Municipal","Eletivo",9
"2014","05","Aguiar","Câmara Municipal","Comissionado",4
"2014","05","Aguiar","Câmara Municipal","Eletivo",9
"2014","06","Aguiar","Câmara Municipal","Comissionado",4
"2014","06","Aguiar","Câmara Municipal","Eletivo",9
"2014","07","Aguiar","Câmara Municipal","Comissionado",4
"2014","07","Aguiar","Câmara Municipal","Eletivo",9
"2014","08","Aguiar","Câmara Municipal","Comissionado",4
"2014","08","Aguiar","Câmara Municipal","Eletivo",9
"2014","09","Aguiar","Câmara Municipal","Comissionado",4
"2014","09","Aguiar","Câmara Municipal","Eletivo",9
"2014","10","Aguiar","Câmara Municipal","Comissionado",4
"2014","10","Aguiar","Câmara Municipal","Eletivo",9
"2014","11","Aguiar","Câmara Municipal","Comissionado",4
"2014","11","Aguiar","Câmara Municipal","Eletivo",9
"2014","12","Aguiar","Câmara Municipal","Comissionado",5
"2014","12","Aguiar","Câmara Municipal","Eletivo",9
"2015","01","Aguiar","Câmara Municipal","Comissionado",4
"2015","01","Aguiar","Câmara Municipal","Eletivo",9
"2015","02","Aguiar","Câmara Municipal","Comissionado",4
"2015","02","Aguiar","Câmara Municipal","Eletivo",9
"2015","03","Aguiar","Câmara Municipal","Comissionado",4
"2015","03","Aguiar","Câmara Municipal","Eletivo",9
"2015","04","Aguiar","Câmara Municipal","Comissionado",4
"2015","04","Aguiar","Câmara Municipal","Eletivo",9
"2015","05","Aguiar","Câmara Municipal","Comissionado",4
"2015","05","Aguiar","Câmara Municipal","Eletivo",9
"2015","06","Aguiar","Câmara Municipal","Comissionado",4
"2015","06","Aguiar","Câmara Municipal","Eletivo",9
"2015","07","Aguiar","Câmara Municipal","Comissionado",4
"2015","07","Aguiar","Câmara Municipal","Eletivo",9
"2015","08","Aguiar","Câmara Municipal","Comissionado",4
"2015","08","Aguiar","Câmara Municipal","Eletivo",9
"2015","09","Aguiar","Câmara Municipal","Comissionado",4
"2015","09","Aguiar","Câmara Municipal","Eletivo",9
"2015","10","Aguiar","Câmara Municipal","Comissionado",4
"2015","10","Aguiar","Câmara Municipal","Eletivo",9
"2015","11","Aguiar","Câmara Municipal","Comissionado",4
"2015","11","Aguiar","Câmara Municipal","Eletivo",9
"2015","12","Aguiar","Câmara Municipal","Comissionado",5
"2015","12","Aguiar","Câmara Municipal","Eletivo",9
"2016","01","Aguiar","Câmara Municipal","Comissionado",4
"2016","01","Aguiar","Câmara Municipal","Eletivo",9
"2016","02","Aguiar","Câmara Municipal","Comissionado",4
"2016","02","Aguiar","Câmara Municipal","Eletivo",9
"2016","03","Aguiar","Câmara Municipal","Comissionado",4
"2016","03","Aguiar","Câmara Municipal","Eletivo",9
"2016","04","Aguiar","Câmara Municipal","Comissionado",4
"2016","04","Aguiar","Câmara Municipal","Eletivo",9
"2016","05","Aguiar","Câmara Municipal","Comissionado",4
"2016","05","Aguiar","Câmara Municipal","Eletivo",9
"2009","01","Alagoa Grande","Câmara Municipal","Comissionado",1
"2009","01","Alagoa Grande","Câmara Municipal","Efetivo",15
"2009","01","Alagoa Grande","Câmara Municipal","Eletivo",9
"2009","02","Alagoa Grande","Câmara Municipal","Comissionado",12
"2009","02","Alagoa Grande","Câmara Municipal","Efetivo",15
"2009","02","Alagoa Grande","Câmara Municipal","Eletivo",9
"2009","03","Alagoa Grande","Câmara Municipal","Comissionado",12
"2009","03","Alagoa Grande","Câmara Municipal","Efetivo",15
"2009","03","Alagoa Grande","Câmara Municipal","Eletivo",9
"2009","04","Alagoa Grande","Câmara Municipal","Comissionado",12
"2009","04","Alagoa Grande","Câmara Municipal","Efetivo",15
"2009","04","Alagoa Grande","Câmara Municipal","Eletivo",9
"2009","05","Alagoa Grande","Câmara Municipal","Comissionado",12
"2009","05","Alagoa Grande","Câmara Municipal","Efetivo",15
"2009","05","Alagoa Grande","Câmara Municipal","Eletivo",9
"2009","06","Alagoa Grande","Câmara Municipal","Comissionado",12
"2009","06","Alagoa Grande","Câmara Municipal","Efetivo",15
"2009","06","Alagoa Grande","Câmara Municipal","Eletivo",9
"2009","07","Alagoa Grande","Câmara Municipal","Comissionado",12
"2009","07","Alagoa Grande","Câmara Municipal","Efetivo",15
"2009","07","Alagoa Grande","Câmara Municipal","Eletivo",9
"2009","08","Alagoa Grande","Câmara Municipal","Comissionado",12
"2009","08","Alagoa Grande","Câmara Municipal","Efetivo",15
"2009","08","Alagoa Grande","Câmara Municipal","Eletivo",9
"2009","09","Alagoa Grande","Câmara Municipal","Comissionado",12
"2009","09","Alagoa Grande","Câmara Municipal","Efetivo",15
"2009","09","Alagoa Grande","Câmara Municipal","Eletivo",9
"2009","10","Alagoa Grande","Câmara Municipal","Comissionado",12
"2009","10","Alagoa Grande","Câmara Municipal","Efetivo",15
"2009","10","Alagoa Grande","Câmara Municipal","Eletivo",9
"2009","11","Alagoa Grande","Câmara Municipal","Comissionado",14
"2009","11","Alagoa Grande","Câmara Municipal","Efetivo",15
