"ano","mes","cidade","quantidade.secretario"
"2009","10","Sossêgo",3
"2009","11","Areia",3
"2009","11","Areia de Baraúnas",3
"2009","11","Barra de Santana",3
"2009","11","Cabedelo",3
"2009","11","Congo",3
"2009","11","Esperança",3
"2009","11","Fagundes",3
"2009","11","Lagoa Seca",3
"2009","11","Massaranduba",3
"2009","11","Santo André",3
"2009","12","Areia",3
"2009","12","Areia de Baraúnas",3
"2009","12","Barra de Santana",3
"2009","12","Cabedelo",3
"2009","12","Congo",3
"2009","12","Esperança",3
"2009","12","Fagundes",3
"2009","12","Itaporanga",3
"2009","12","Lagoa Seca",3
"2009","12","Massaranduba",3
"2009","12","Pedra Branca",3
"2009","12","Santo André",3
"2009","01","Barra de Santana",2
"2009","01","Belém",2
"2009","01","Cabaceiras",2
"2009","01","Campina Grande",2
"2009","01","Conde",2
"2009","01","Gurjão",2
"2009","01","Ingá",2
"2009","01","Itaporanga",2
"2009","01","Mamanguape",2
"2009","01","Monteiro",2
"2009","01","Parari",2
"2009","01","Pedra Branca",2
"2009","01","Pedro Régis",2
"2009","01","São João do Cariri",2
"2009","01","São José de Caiana",2
"2009","01","São Mamede",2
"2009","01","São Sebastião do Umbuzeiro",2
"2009","01","Serra Grande",2
"2009","01","Sertãozinho",2
"2009","01","Soledade",2
"2009","01","Sousa",2
"2009","01","Tacima",2
"2009","02","Alagoa Grande",2
"2009","02","Aparecida",2
"2009","02","Belém",2
"2009","02","Cabaceiras",2
"2009","02","Cacimbas",2
"2009","02","Campina Grande",2
"2009","02","Fagundes",2
"2009","02","Gurjão",2
"2009","02","Ingá",2
"2009","02","Itaporanga",2
"2009","02","Mamanguape",2
"2009","02","Monteiro",2
"2009","02","Parari",2
"2009","02","Patos",2
"2009","02","Pedra Branca",2
"2009","02","Pedro Régis",2
"2009","02","São Bentinho",2
"2009","02","São João do Cariri",2
"2009","02","São José de Caiana",2
"2009","02","São José dos Ramos",2
"2009","02","São Mamede",2
"2009","02","São Sebastião do Umbuzeiro",2
"2009","02","Serra Grande",2
"2009","02","Sertãozinho",2
"2009","02","Soledade",2
"2009","02","Sousa",2
"2009","02","Tacima",2
"2009","03","Alagoa Grande",2
"2009","03","Aparecida",2
"2009","03","Arara",2
"2009","03","Belém",2
"2009","03","Cacimbas",2
"2009","03","Campina Grande",2
"2009","03","Fagundes",2
"2009","03","Gurjão",2
"2009","03","Ingá",2
"2009","03","Itaporanga",2
"2009","03","Mamanguape",2
"2009","03","Monteiro",2
"2009","03","Parari",2
"2009","03","Patos",2
"2009","03","Pedra Branca",2
"2009","03","Pedro Régis",2
"2009","03","São Bentinho",2
"2009","03","São João do Cariri",2
"2009","03","São José de Caiana",2
"2009","03","São José dos Ramos",2
"2009","03","São Mamede",2
"2009","03","São Sebastião do Umbuzeiro",2
"2009","03","Serra Grande",2
"2009","03","Sertãozinho",2
"2009","03","Soledade",2
"2009","03","Sousa",2
"2009","03","Tacima",2
"2009","04","Alagoa Grande",2
"2009","04","Aparecida",2
"2009","04","Arara",2
"2009","04","Belém",2
"2009","04","Cacimbas",2
"2009","04","Campina Grande",2
"2009","04","Fagundes",2
"2009","04","Gurjão",2
"2009","04","Ingá",2
"2009","04","Itaporanga",2
"2009","04","Mamanguape",2
"2009","04","Monteiro",2
"2009","04","Parari",2
"2009","04","Patos",2
"2009","04","Pedra Branca",2
"2009","04","Pedro Régis",2
"2009","04","São Bentinho",2
"2009","04","São João do Cariri",2
"2009","04","São José de Caiana",2
"2009","04","São José dos Ramos",2
"2009","04","São Mamede",2
"2009","04","São Sebastião do Umbuzeiro",2
"2009","04","Serra Branca",2
"2009","04","Serra Grande",2
"2009","04","Sertãozinho",2
"2009","04","Soledade",2
"2009","04","Sousa",2
"2009","04","Tacima",2
"2009","05","Alagoa Grande",2
"2009","05","Aparecida",2
"2009","05","Arara",2
"2009","05","Belém",2
"2009","05","Cacimbas",2
"2009","05","Campina Grande",2
"2009","05","Caraúbas",2
"2009","05","Fagundes",2
"2009","05","Gurjão",2
"2009","05","Ingá",2
"2009","05","Itaporanga",2
"2009","05","Mamanguape",2
"2009","05","Monteiro",2
"2009","05","Parari",2
"2009","05","Patos",2
"2009","05","Pedra Branca",2
"2009","05","Pedro Régis",2
"2009","05","São Bentinho",2
"2009","05","São João do Cariri",2
"2009","05","São José dos Ramos",2
"2009","05","São Mamede",2
"2009","05","São Sebastião do Umbuzeiro",2
"2009","05","Serra Branca",2
"2009","05","Serra Grande",2
"2009","05","Sertãozinho",2
"2009","05","Soledade",2
"2009","05","Sousa",2
"2009","05","Tacima",2
"2009","06","Alagoa Grande",2
"2009","06","Aparecida",2
"2009","06","Arara",2
"2009","06","Belém",2
"2009","06","Cacimbas",2
"2009","06","Campina Grande",2
"2009","06","Caraúbas",2
"2009","06","Fagundes",2
"2009","06","Gurjão",2
"2009","06","Ingá",2
"2009","06","Itaporanga",2
"2009","06","Mamanguape",2
"2009","06","Monteiro",2
"2009","06","Parari",2
"2009","06","Patos",2
"2009","06","Pedra Branca",2
"2009","06","Pedro Régis",2
"2009","06","São Bentinho",2
"2009","06","São João do Cariri",2
"2009","06","São José de Caiana",2
"2009","06","São José dos Ramos",2
"2009","06","São Mamede",2
"2009","06","São Sebastião do Umbuzeiro",2
"2009","06","Serra Branca",2
"2009","06","Serra Grande",2
"2009","06","Sertãozinho",2
"2009","06","Soledade",2
"2009","06","Sousa",2
"2009","06","Tacima",2
"2009","07","Alagoa Grande",2
"2009","07","Aparecida",2
"2009","07","Arara",2
"2009","07","Belém",2
"2009","07","Borborema",2
"2009","07","Cacimbas",2
"2009","07","Campina Grande",2
"2009","07","Caraúbas",2
"2009","07","Conde",2
"2009","07","Fagundes",2
"2009","07","Gurjão",2
"2009","07","Ingá",2
"2009","07","Itaporanga",2
"2009","07","Mamanguape",2
"2009","07","Monteiro",2
"2009","07","Parari",2
"2009","07","Patos",2
"2009","07","Pedra Branca",2
"2009","07","Pedro Régis",2
"2009","07","São Bentinho",2
"2009","07","São João do Cariri",2
"2009","07","São José de Caiana",2
"2009","07","São José dos Ramos",2
"2009","07","São Mamede",2
"2009","07","São Sebastião do Umbuzeiro",2
"2009","07","Serra Branca",2
"2009","07","Serra Grande",2
"2009","07","Sertãozinho",2
"2009","07","Soledade",2
"2009","07","Sousa",2
"2009","07","Tacima",2
"2009","08","Alagoa Grande",2
"2009","08","Aparecida",2
"2009","08","Arara",2
"2009","08","Belém",2
"2009","08","Cacimbas",2
"2009","08","Campina Grande",2
"2009","08","Caraúbas",2
"2009","08","Conde",2
"2009","08","Gurjão",2
"2009","08","Ingá",2
"2009","08","Itaporanga",2
"2009","08","Mamanguape",2
"2009","08","Monteiro",2
"2009","08","Parari",2
"2009","08","Patos",2
"2009","08","Pedra Branca",2
"2009","08","Pedro Régis",2
"2009","08","Pombal",2
"2009","08","São Bentinho",2
"2009","08","São João do Cariri",2
"2009","08","São José de Caiana",2
"2009","08","São José dos Ramos",2
"2009","08","São Mamede",2
"2009","08","São Sebastião do Umbuzeiro",2
"2009","08","Serra Branca",2
"2009","08","Serra Grande",2
"2009","08","Sertãozinho",2
"2009","08","Soledade",2
"2009","08","Sousa",2
"2009","08","Tacima",2
"2009","09","Alagoa Grande",2
"2009","09","Aparecida",2
"2009","09","Arara",2
"2009","09","Belém",2
"2009","09","Cacimbas",2
"2009","09","Campina Grande",2
"2009","09","Caraúbas",2
"2009","09","Conde",2
"2009","09","Gurjão",2
"2009","09","Ingá",2
"2009","09","Itaporanga",2
"2009","09","Mamanguape",2
"2009","09","Monteiro",2
"2009","09","Parari",2
"2009","09","Pedra Branca",2
"2009","09","Pedro Régis",2
"2009","09","São Bentinho",2
"2009","09","São João do Cariri",2
"2009","09","São José de Caiana",2
"2009","09","São José dos Ramos",2
"2009","09","São Mamede",2
"2009","09","São Sebastião do Umbuzeiro",2
"2009","09","Serra Branca",2
"2009","09","Serra Grande",2
"2009","09","Sertãozinho",2
"2009","09","Soledade",2
"2009","09","Sousa",2
"2009","09","Tacima",2
"2009","10","Alagoa Grande",2
"2009","10","Aparecida",2
"2009","10","Arara",2
"2009","10","Belém",2
"2009","10","Cacimbas",2
"2009","10","Campina Grande",2
"2009","10","Caraúbas",2
"2009","10","Conde",2
"2009","10","Gurjão",2
"2009","10","Ingá",2
"2009","10","Itaporanga",2
"2009","10","Mamanguape",2
"2009","10","Monteiro",2
"2009","10","Parari",2
"2009","10","Pedra Branca",2
"2009","10","Pedro Régis",2
"2009","10","São Bentinho",2
"2009","10","São João do Cariri",2
"2009","10","São José de Caiana",2
"2009","10","São José dos Ramos",2
"2009","10","São Mamede",2
"2009","10","São Sebastião do Umbuzeiro",2
"2009","10","Serra Branca",2
"2009","10","Serra Grande",2
"2009","10","Soledade",2
"2009","10","Sousa",2
"2009","10","Tacima",2
"2009","11","Alagoa Grande",2
"2009","11","Aparecida",2
"2009","11","Arara",2
"2009","11","Belém",2
"2009","11","Cacimbas",2
"2009","11","Campina Grande",2
"2009","11","Caraúbas",2
"2009","11","Conde",2
"2009","11","Gurjão",2
"2009","11","Itaporanga",2
"2009","11","Mamanguape",2
"2009","11","Monteiro",2
"2009","11","Nova Olinda",2
"2009","11","Parari",2
"2009","11","Pedra Branca",2
"2009","11","Pedro Régis",2
"2009","11","São Bentinho",2
"2009","11","São João do Cariri",2
"2009","11","São José de Caiana",2
"2009","11","São José dos Ramos",2
"2009","11","São Mamede",2
"2009","11","São Sebastião do Umbuzeiro",2
"2009","11","Serra Branca",2
"2009","11","Serra Grande",2
"2009","11","Soledade",2
"2009","11","Sousa",2
"2009","11","Tacima",2
"2009","12","Alagoa Grande",2
"2009","12","Aparecida",2
"2009","12","Arara",2
"2009","12","Belém",2
"2009","12","Campina Grande",2
"2009","12","Caraúbas",2
"2009","12","Casserengue",2
"2009","12","Conde",2
"2009","12","Gurjão",2
"2009","12","Mamanguape",2
"2009","12","Monteiro",2
"2009","12","Nova Olinda",2
"2009","12","Parari",2
"2009","12","Pedro Régis",2
"2009","12","Santa Cruz",2
"2009","12","São Bentinho",2
"2009","12","São José de Caiana",2
"2009","12","São José dos Ramos",2
"2009","12","São Mamede",2
"2009","12","São Sebastião do Umbuzeiro",2
"2009","12","Serra Branca",2
"2009","12","Serra Grande",2
"2009","12","Soledade",2
"2009","12","Sousa",2
"2009","12","Tacima",2
"2009","01","Aguiar",1
"2009","01","Alagoinha",1
"2009","01","Alcantil",1
"2009","01","Algodão de Jandaíra",1
"2009","01","Aparecida",1
"2009","01","Arara",1
"2009","01","Araruna",1
"2009","01","Areial",1
"2009","01","Baía da Traição",1
"2009","01","Bananeiras",1
"2009","01","Barra de Santa Rosa",1
"2009","01","Barra de São Miguel",1
"2009","01","Belém do Brejo do Cruz",1
"2009","01","Bernardino Batista",1
"2009","01","Boa Ventura",1
"2009","01","Boa Vista",1
"2009","01","Bom Sucesso",1
"2009","01","Bonito de Santa Fé",1
"2009","01","Borborema",1
"2009","01","Brejo dos Santos",1
"2009","01","Caaporã",1
"2009","01","Cachoeira dos Índios",1
"2009","01","Cacimba de Dentro",1
"2009","01","Cacimbas",1
"2009","01","Cajazeirinhas",1
"2009","01","Capim",1
"2009","01","Caraúbas",1
"2009","01","Carrapateira",1
"2009","01","Casserengue",1
"2009","01","Caturité",1
"2009","01","Coremas",1
"2009","01","Coxixola",1
"2009","01","Cuité de Mamanguape",1
"2009","01","Curral de Cima",1
"2009","01","Diamante",1
"2009","01","Guarabira",1
"2009","01","Igaracy",1
"2009","01","Itatuba",1
"2009","01","Jacaraú",1
"2009","01","Jericó",1
"2009","01","Joca Claudino",1
"2009","01","Juarez Távora",1
"2009","01","Juazeirinho",1
"2009","01","Junco do Seridó",1
"2009","01","Juru",1
"2009","01","Lagoa",1
"2009","01","Lastro",1
"2009","01","Logradouro",1
"2009","01","Lucena",1
"2009","01","Mãe d'Água",1
"2009","01","Marizópolis",1
"2009","01","Mataraca",1
"2009","01","Matinhas",1
"2009","01","Maturéia",1
"2009","01","Mogeiro",1
"2009","01","Nazarezinho",1
"2009","01","Nova Olinda",1
"2009","01","Nova Palmeira",1
"2009","01","Ouro Velho",1
"2009","01","Passagem",1
"2009","01","Patos",1
"2009","01","Paulista",1
"2009","01","Pedras de Fogo",1
"2009","01","Piancó",1
"2009","01","Picuí",1
"2009","01","Pilões",1
"2009","01","Pilõezinhos",1
"2009","01","Pocinhos",1
"2009","01","Poço Dantas",1
"2009","01","Pombal",1
"2009","01","Remígio",1
"2009","01","Riachão",1
"2009","01","Riachão do Bacamarte",1
"2009","01","Riachão do Poço",1
"2009","01","Riacho dos Cavalos",1
"2009","01","Rio Tinto",1
"2009","01","Salgado de São Félix",1
"2009","01","Santa Cruz",1
"2009","01","Santa Inês",1
"2009","01","Santa Teresinha",1
"2009","01","Santana de Mangueira",1
"2009","01","São Bentinho",1
"2009","01","São Francisco",1
"2009","01","São João do Rio do Peixe",1
"2009","01","São João do Tigre",1
"2009","01","São José de Piranhas",1
"2009","01","São José dos Cordeiros",1
"2009","01","São José dos Ramos",1
"2009","01","São Miguel de Taipu",1
"2009","01","Sapé",1
"2009","01","Serra Branca",1
"2009","01","Serra Redonda",1
"2009","01","Serraria",1
"2009","01","Sobrado",1
"2009","01","Solânea",1
"2009","01","Taperoá",1
"2009","01","Triunfo",1
"2009","01","Uiraúna",1
"2009","01","Umbuzeiro",1
"2009","01","Várzea",1
"2009","01","Vieirópolis",1
"2009","01","Vista Serrana",1
"2009","01","Zabelê",1
"2009","02","Aguiar",1
"2009","02","Alagoinha",1
"2009","02","Alcantil",1
"2009","02","Algodão de Jandaíra",1
"2009","02","Arara",1
"2009","02","Araruna",1
"2009","02","Areial",1
"2009","02","Baía da Traição",1
"2009","02","Bananeiras",1
"2009","02","Barra de Santa Rosa",1
"2009","02","Barra de São Miguel",1
"2009","02","Belém do Brejo do Cruz",1
"2009","02","Bernardino Batista",1
"2009","02","Boa Ventura",1
"2009","02","Boa Vista",1
"2009","02","Bom Jesus",1
"2009","02","Bom Sucesso",1
"2009","02","Bonito de Santa Fé",1
"2009","02","Borborema",1
"2009","02","Brejo dos Santos",1
"2009","02","Caaporã",1
"2009","02","Cachoeira dos Índios",1
"2009","02","Cacimba de Dentro",1
"2009","02","Cajazeirinhas",1
"2009","02","Capim",1
"2009","02","Caraúbas",1
"2009","02","Carrapateira",1
"2009","02","Casserengue",1
"2009","02","Caturité",1
"2009","02","Conde",1
"2009","02","Coremas",1
"2009","02","Coxixola",1
"2009","02","Cuité de Mamanguape",1
"2009","02","Cuitegi",1
"2009","02","Curral de Cima",1
"2009","02","Diamante",1
"2009","02","Gado Bravo",1
"2009","02","Guarabira",1
"2009","02","Igaracy",1
"2009","02","Itapororoca",1
"2009","02","Itatuba",1
"2009","02","Jacaraú",1
"2009","02","Jericó",1
"2009","02","Joca Claudino",1
"2009","02","Juarez Távora",1
"2009","02","Juazeirinho",1
"2009","02","Junco do Seridó",1
"2009","02","Juru",1
"2009","02","Lagoa",1
"2009","02","Lastro",1
"2009","02","Logradouro",1
"2009","02","Lucena",1
"2009","02","Mãe d'Água",1
"2009","02","Marizópolis",1
"2009","02","Mataraca",1
"2009","02","Matinhas",1
"2009","02","Maturéia",1
"2009","02","Mogeiro",1
"2009","02","Nazarezinho",1
"2009","02","Nova Olinda",1
"2009","02","Nova Palmeira",1
"2009","02","Ouro Velho",1
"2009","02","Passagem",1
"2009","02","Paulista",1
"2009","02","Pedras de Fogo",1
"2009","02","Piancó",1
"2009","02","Picuí",1
"2009","02","Pilões",1
"2009","02","Pilõezinhos",1
"2009","02","Pirpirituba",1
"2009","02","Pocinhos",1
"2009","02","Poço Dantas",1
"2009","02","Pombal",1
"2009","02","Queimadas",1
"2009","02","Remígio",1
"2009","02","Riachão",1
"2009","02","Riachão do Bacamarte",1
"2009","02","Riachão do Poço",1
"2009","02","Riacho dos Cavalos",1
"2009","02","Rio Tinto",1
"2009","02","Salgadinho",1
"2009","02","Salgado de São Félix",1
"2009","02","Santa Cruz",1
"2009","02","Santa Inês",1
"2009","02","Santa Teresinha",1
"2009","02","Santana de Mangueira",1
"2009","02","São Francisco",1
"2009","02","São João do Rio do Peixe",1
"2009","02","São João do Tigre",1
"2009","02","São José de Espinharas",1
"2009","02","São José de Piranhas",1
"2009","02","São José dos Cordeiros",1
"2009","02","São Miguel de Taipu",1
"2009","02","Sapé",1
"2009","02","Serra Branca",1
"2009","02","Serra Redonda",1
"2009","02","Serraria",1
"2009","02","Sobrado",1
"2009","02","Solânea",1
"2009","02","Taperoá",1
"2009","02","Teixeira",1
"2009","02","Triunfo",1
"2009","02","Uiraúna",1
"2009","02","Umbuzeiro",1
"2009","02","Várzea",1
"2009","02","Vieirópolis",1
"2009","02","Vista Serrana",1
"2009","02","Zabelê",1
"2009","03","Aguiar",1
"2009","03","Alagoinha",1
"2009","03","Alcantil",1
"2009","03","Algodão de Jandaíra",1
"2009","03","Araruna",1
"2009","03","Areial",1
"2009","03","Baía da Traição",1
"2009","03","Bananeiras",1
"2009","03","Barra de Santa Rosa",1
"2009","03","Barra de São Miguel",1
"2009","03","Belém do Brejo do Cruz",1
"2009","03","Bernardino Batista",1
"2009","03","Boa Ventura",1
"2009","03","Boa Vista",1
"2009","03","Bom Jesus",1
"2009","03","Bom Sucesso",1
"2009","03","Bonito de Santa Fé",1
"2009","03","Borborema",1
