"cidade","ano","mes","quantidade.auxiliar","quantidade.assessor","quantidade.assistente","quantidade.secretario"
"Sousa","2011","10",8,3,51,2
"Sousa","2011","11",8,3,52,2
"Sousa","2012","01",8,3,51,2
"Sousa","2012","02",7,3,51,2
"Sousa","2012","03",7,3,51,2
"Sousa","2012","04",7,3,51,2
"Sousa","2012","05",7,3,51,2
"Sousa","2012","06",7,3,51,2
"Sousa","2012","07",7,3,51,2
"Sousa","2012","08",7,3,52,2
"Sousa","2012","09",7,3,51,2
"Sousa","2012","10",7,3,51,2
"Sousa","2012","11",7,3,51,2
"Sousa","2012","12",7,3,52,2
"Sousa","2013","02",7,3,53,2
"Sousa","2013","03",7,3,53,2
"Sousa","2013","04",7,3,53,2
"Sousa","2013","05",7,3,53,2
"Sousa","2013","06",7,3,53,2
"Sousa","2013","07",7,3,53,2
"Sousa","2013","08",7,3,53,2
"Sousa","2013","09",7,3,53,2
"Sousa","2013","10",7,3,53,2
"Sousa","2013","11",7,3,53,2
"Sousa","2013","12",7,3,58,2
"Sousa","2014","01",7,3,54,2
"Sousa","2014","02",7,3,54,2
"Sousa","2014","03",6,4,54,2
"Sousa","2014","04",5,4,53,2
"Sousa","2014","12",6,2,75,1
"Sousa","2015","01",6,11,30,1
"Sousa","2015","02",6,11,30,1
"Sousa","2015","03",6,11,30,1
"Sousa","2015","04",6,11,30,1
"Sousa","2015","05",6,11,30,1
"Sousa","2015","06",6,11,38,1
"Sousa","2015","07",6,11,30,1
"Sousa","2015","08",6,11,30,1
"Sousa","2015","09",6,11,30,1
"Sousa","2015","10",6,11,30,1
"Sousa","2015","11",6,11,30,1
"Sousa","2015","12",6,11,30,1
"Sousa","2016","01",8,14,15,1
"Sousa","2016","02",8,13,15,1
"Sousa","2016","03",7,12,16,1
"Sousa","2016","04",8,12,16,1
"Sousa","2016","05",8,12,16,1
"Vista Serrana","2009","01",1,1,2,1
"Vista Serrana","2009","02",1,1,2,1
"Vista Serrana","2009","03",1,1,2,1
"Vista Serrana","2009","04",1,1,2,1
"Vista Serrana","2009","05",1,1,2,1
"Vista Serrana","2009","06",1,1,2,1
"Vista Serrana","2009","07",1,1,2,1
"Vista Serrana","2009","08",1,1,2,1
"Vista Serrana","2009","09",1,1,2,1
"Vista Serrana","2009","10",1,1,2,1
"Vista Serrana","2009","11",1,1,2,1
