"cidade","ano","mes","quantidade.auxiliar","quantidade.assessor","quantidade.assistente","quantidade.secretario"
"Bananeiras","2011","09",2,2,2,1
"Bananeiras","2011","10",2,2,2,1
"Bananeiras","2011","11",2,2,2,1
"Bananeiras","2012","01",2,3,2,1
"Bananeiras","2012","02",2,3,2,1
"Bananeiras","2012","03",2,3,2,1
"Bananeiras","2012","04",2,3,2,1
"Bananeiras","2012","05",2,3,2,1
"Bananeiras","2012","06",2,3,2,1
"Bananeiras","2012","07",2,3,2,1
"Bananeiras","2012","08",2,3,2,1
"Bananeiras","2012","09",2,3,2,1
"Bananeiras","2012","11",2,3,2,1
"Bananeiras","2012","12",2,3,2,1
"Bananeiras","2013","01",2,1,2,1
"Bananeiras","2013","02",2,1,2,1
"Bananeiras","2013","03",2,2,2,1
"Bananeiras","2013","04",2,2,2,1
"Bananeiras","2013","05",2,3,2,1
"Bananeiras","2013","06",2,4,2,1
"Bananeiras","2013","07",2,6,2,1
"Bananeiras","2013","08",2,6,2,1
"Bananeiras","2013","09",2,6,2,1
"Bananeiras","2013","10",2,6,2,1
"Bananeiras","2013","11",2,6,2,1
"Bananeiras","2013","12",2,12,2,3
"Bananeiras","2014","01",2,6,2,2
"Bananeiras","2014","02",2,6,2,2
"Bananeiras","2014","03",2,6,2,2
"Bananeiras","2014","04",2,6,2,2
"Bananeiras","2014","05",2,6,2,2
"Bananeiras","2014","06",2,7,2,2
"Bananeiras","2014","07",2,6,2,2
"Bananeiras","2014","08",2,6,2,2
"Bananeiras","2014","09",2,6,2,2
"Bananeiras","2014","10",2,6,2,2
"Bananeiras","2014","11",2,6,2,2
"Bananeiras","2014","12",2,1,2,2
"Bananeiras","2015","01",2,3,2,1
"Bananeiras","2015","02",2,6,2,2
"Bananeiras","2015","03",2,8,2,2
"Bananeiras","2015","04",2,8,2,2
"Bananeiras","2015","05",2,8,2,2
"Bananeiras","2015","06",2,9,2,2
"Bananeiras","2015","07",2,8,2,2
"Bananeiras","2015","08",2,8,2,2
"Bananeiras","2015","09",2,9,2,2
"Bananeiras","2015","10",2,9,2,2
"Bananeiras","2015","11",2,9,2,2
"Bananeiras","2015","12",2,10,2,2
"Bananeiras","2016","01",2,7,3,2
"Bananeiras","2016","02",2,9,3,2
"Bananeiras","2016","03",2,12,3,2
"Bananeiras","2016","04",2,12,3,2
"Bananeiras","2016","05",2,13,3,2
"Bayeux","2009","01",33,21,11,11
"Bayeux","2009","02",33,21,12,11
"Bayeux","2009","03",33,21,12,11
"Bayeux","2009","04",33,21,12,11
"Bayeux","2009","05",31,21,12,11
"Bayeux","2009","06",30,23,11,11
"Bayeux","2009","07",30,22,11,11
"Bayeux","2009","08",30,24,11,10
"Bayeux","2009","09",29,25,9,11
"Bayeux","2009","10",29,25,9,11
"Bayeux","2009","11",29,19,8,10
"Bayeux","2009","12",29,16,9,11
"Bayeux","2010","01",29,16,9,11
"Bayeux","2010","02",30,13,10,13
"Bayeux","2010","03",29,18,6,11
"Bayeux","2010","04",29,15,7,12
"Bayeux","2010","05",30,19,8,12
"Bayeux","2010","06",30,20,8,12
"Bayeux","2010","07",30,20,8,12
"Bayeux","2010","08",30,20,8,12
"Bayeux","2010","09",28,17,6,11
"Bayeux","2010","10",28,16,6,10
"Bayeux","2010","11",28,15,6,10
"Bayeux","2010","12",28,15,6,10
"Bayeux","2011","01",28,19,9,9
"Bayeux","2011","02",28,19,10,10
"Bayeux","2011","03",28,19,10,19
"Bayeux","2011","04",28,19,10,19
"Bayeux","2011","05",28,19,10,15
"Bayeux","2011","06",28,19,10,15
"Bayeux","2011","07",28,19,10,15
"Bayeux","2011","08",28,19,10,15
"Bayeux","2011","09",28,19,8,14
"Bayeux","2011","10",28,22,10,17
"Bayeux","2011","11",28,21,10,17
"Bayeux","2011","12",28,20,10,16
"Bayeux","2012","01",28,21,10,17
"Bayeux","2012","02",28,23,11,17
"Bayeux","2012","03",28,23,11,17
"Bayeux","2012","04",28,23,12,18
"Bayeux","2012","05",28,24,12,18
"Bayeux","2012","06",28,24,12,18
"Bayeux","2012","07",28,23,13,19
"Bayeux","2012","08",28,23,14,18
"Bayeux","2012","09",28,23,14,18
"Bayeux","2012","10",28,23,14,18
"Bayeux","2012","11",23,23,13,18
"Bayeux","2012","12",23,22,13,18
"Bayeux","2013","01",23,10,1,1
"Bayeux","2013","02",24,9,2,1
"Bayeux","2013","03",24,9,2,1
"Bayeux","2013","04",24,9,2,1
"Bayeux","2013","05",24,8,3,1
"Bayeux","2013","06",24,8,3,1
"Bayeux","2013","07",24,8,3,1
"Bayeux","2013","08",24,9,2,1
"Bayeux","2013","09",24,9,2,1
"Bayeux","2013","10",24,9,2,1
"Bayeux","2013","11",24,9,2,1
"Bayeux","2013","12",24,9,2,1
"Bayeux","2014","01",24,9,2,1
"Bayeux","2014","02",22,9,2,1
"Bayeux","2014","03",22,11,2,3
"Bayeux","2014","04",22,11,2,3
"Bayeux","2014","05",22,11,2,3
"Bayeux","2014","06",22,11,2,3
"Bayeux","2014","07",22,11,2,3
"Bayeux","2014","08",22,11,2,3
"Bayeux","2014","09",22,11,2,3
"Bayeux","2014","10",22,11,2,3
"Bayeux","2014","11",22,11,1,3
"Bayeux","2014","12",23,11,2,3
"Caaporã","2009","01",7,22,5,1
"Caaporã","2009","02",7,22,7,1
"Caaporã","2009","03",7,23,8,1
"Caaporã","2009","04",7,23,8,1
"Caaporã","2009","05",7,24,8,1
"Caaporã","2009","06",7,27,9,1
"Caaporã","2009","07",8,26,9,1
"Caaporã","2009","08",8,32,9,1
"Caaporã","2009","09",8,32,9,1
"Caaporã","2009","10",8,32,9,1
"Caaporã","2009","11",8,32,9,1
"Caaporã","2009","12",8,32,10,1
"Caaporã","2010","01",8,10,4,1
"Caaporã","2011","11",7,3,2,1
"Caaporã","2012","01",7,14,3,12
"Caaporã","2012","02",7,15,3,13
"Caaporã","2012","03",7,20,3,3
"Caaporã","2012","04",7,19,3,4
"Caaporã","2012","05",7,19,3,4
"Caaporã","2012","06",7,19,3,4
"Caaporã","2012","07",7,19,3,4
"Caaporã","2012","08",7,18,3,4
"Caaporã","2012","09",7,18,3,4
"Caaporã","2012","10",7,18,3,4
"Caaporã","2012","11",7,18,3,4
"Caaporã","2012","12",7,18,4,3
"Caaporã","2013","03",5,13,5,2
"Caaporã","2013","04",5,13,5,2
"Caaporã","2013","05",6,13,5,2
"Caaporã","2013","06",6,13,5,2
"Caaporã","2013","09",6,14,4,1
"Catingueira","2015","04",1,1,1,1
"Catingueira","2015","05",1,1,1,1
"Catingueira","2015","06",1,1,1,1
"Catingueira","2015","07",1,1,1,1
"Catingueira","2015","08",1,1,1,1
"Catingueira","2015","09",1,1,1,1
"Catingueira","2015","10",1,1,1,1
"Catingueira","2015","11",1,2,1,2
"Catingueira","2015","12",1,1,1,1
"Catingueira","2016","01",1,1,1,1
"Catingueira","2016","02",1,1,1,1
"Catingueira","2016","03",1,1,1,1
"Catingueira","2016","04",1,1,1,1
"Catingueira","2016","05",1,1,1,1
"Cuité de Mamanguape","2014","01",1,1,2,2
"Cuité de Mamanguape","2014","02",1,1,2,2
"Cuité de Mamanguape","2014","03",1,1,2,2
"Cuité de Mamanguape","2014","04",1,1,2,2
"Cuité de Mamanguape","2014","05",1,1,2,2
"Cuité de Mamanguape","2014","06",1,1,2,2
"Cuité de Mamanguape","2014","07",1,1,2,2
"Cuité de Mamanguape","2014","08",1,1,2,1
"Cuité de Mamanguape","2014","09",1,1,2,2
"Cuité de Mamanguape","2014","10",1,1,2,2
"Cuité de Mamanguape","2015","01",1,1,2,2
"Cuité de Mamanguape","2015","02",1,1,2,2
"Cuité de Mamanguape","2015","03",1,1,3,2
"Guarabira","2009","01",2,30,1,1
"Guarabira","2009","02",2,31,12,1
"Guarabira","2009","03",2,31,12,1
"Guarabira","2009","04",2,31,12,1
"Guarabira","2009","05",2,31,12,1
"Guarabira","2009","06",2,31,12,1
"Guarabira","2009","07",2,31,12,1
"Guarabira","2009","08",2,31,12,1
"Guarabira","2009","09",2,31,12,1
"Guarabira","2009","10",2,31,12,1
"Guarabira","2009","11",2,31,12,1
"Guarabira","2009","12",2,31,12,1
"Guarabira","2010","01",2,31,2,1
